Candidato,Partido,Número,Votos
Michele Collins,PP,11611,15357
Irmã Aimée,PSB,40150,14338
Fred Ferreira,PSC,20620,14277
Aderaldo Pinto,PSB,40888,12767
Felipe Francismar,PSB,40654,12183
Marília Arraes,PT,13100,11872
Davi Muniz,PEN,51122,11693
Natalia de Menudo,PSB,40123,10277
Eduardo Marques,PSB,40699,10177
Aline Mariano,PMDB,15615,10139
Antonio Luiz Neto,PTB,14666,9796
Professora Ana Lúcia,PRB,10123,9538
Augusto Carreras,PSB,40640,9162
Romerinho Jatobá,PROS,90123,9088
Jadeval de Lima,PDT,12123,8831
Andre Regis,PSDB,45600,8702
Wanderson,PSC,20120,8701
Jayme Asfora,PMDB,15123,8657
Rinaldo Júnior,PRB,10000,8604
Maguari,PSB,40667,8366
Carlos Gueiros,PSB,40623,8291
Marco Aurelio Meu Amigo,PRTB,28999,7664
Marcos Di Bria,PSDC,27000,7355
Prof. Jairo Britto,PT,13001,7229
Chico Kiko,PP,11111,7079
Almir Fernando,PC do B,65147,6852
Eriberto Rafael,PTC,36111,6158
Alcides Teixeira Neto,PRTB,28128,6025
Romero Alburquerque,PP,11000,5613
Gilberto Alves,PSD,55040,5390
Aerto Luna,PRP,44123,5216
Ivan Moraes,PSOL,50100,5203
Dr Rogério Lucca,PSL,17417,5093
Junior Bocão,PSDB,45045,5063
Helio Guabiraba,PRTB,28028,4836
Ricardo Cruz,PPS,23456,4547
Rodrigo Coutinho,SD,77777,4300
Renato Antunes,PSC,20600,4261
Benjamim da Saúde,PEN,51424,3772
Eduardo Chera,PDT,12222,8255
Luiz Eustaquio,PSB,40500,7544
Romildo Gomes,PSB,40666,7003
Eurico Freire,REDE,18618,6829
Vicente André Gomes,PSB,40644,6205
Toinho do União,PSDC,27456,5690
Wilton Brito,PP,11456,5591
João da Costa,PT,13144,5545
Oscar,PT,13650,5533
Jurandir Liberal,PT,13613,5531
Henrique Leite,PDT,12612,5281
Isabella de Roldão,PDT,12345,5125
Albanise,PSOL,50000,4606
Rene Patriota,PV,43433,4561
Marcos Menezes,PDT,12650,4541
Josemi Simões,PSDC,27190,4470
Alexandre Lacerda,PPL,54444,4431
Albérisson Carlos,PSDB,45190,4295
Fabio Gomes,PSD,55123,4268
